ООО ЗДИ ;ЮВАО;район Печатники;Деревообрабатывающая промышленность
АО ДОК-3 ;ЮВАО;Нижегородский район;Деревообрабатывающая промышленность
АО НПО МИКРОГЕН  ;ЮВАО;Южнопортовый район;Химическая промышленность
АО МЭЗОПЛАСТ ;ЮВАО;район Печатники;Химическая промышленность
АО ПОЛИМЕРБЫТ ;ЮВАО;Нижегородский район;Резиновые и пластмассовые изделия
ООО ТЗК ТЕХОСНАСТКА ;ЮВАО;Нижегородский район;Резиновые и пластмассовые изделия
ЗАО СВЯЗЬСТРОЙДЕТАЛЬ ;ЮВАО;район Печатники;Электрическое оборудование
ООО ЭРКОН ;ЮВАО;район Печатники;Неметаллические минеральные продукты
ОАО АБЗ-4 Капотня ;ЮВАО;район Капотня;Неметаллические минеральные продукты
ООО ЭЛКАТ ;ЮВАО;район Лефортово;Металлообрабатывающая промышленность
ООО МОСКАБЕЛЬ-ЦВЕТМЕТ ;ЮВАО;район Лефортово;Металлообрабатывающая промышленность
АО ЛГМ ;ЮВАО;район Печатники;Машины и оборудование
ООО ПНФ ЛГ автоматика ;ЮВАО;район Кузьминки;Машины и оборудование
ПАО КМЗ ;ЮВАО;Нижегородский район;Машины и оборудование
ООО ТОО Промхолод ;ЮВАО;район Текстильщики;Машины и оборудование
ООО ПМХ ;ЮВАО;район Печатники;Целлюлозно-бумажная промышленность, издательская и полиграфическая деятельность
АО ПК ПУШКИНСКАЯ ПЛОЩАДЬ ;ЮВАО;район Печатники;Целлюлозно-бумажная промышленность, издательская и полиграфическая деятельность
АО Линия График ;ЮВАО;район Люблино;Целлюлозно-бумажная промышленность, издательская и полиграфическая деятельность
ООО Полиграф-защита СПб ;ЮВАО;район Печатники;Целлюлозно-бумажная промышленность, издательская и полиграфическая деятельность
АО ГАЗПРОМНЕФТЬ - МНПЗ ;ЮВАО;район Капотня;Нефтепереработка
ООО НПП НЕФТЕХИМИЯ ;ЮВАО;район Капотня;Химическая промышленность
ФГУП МОСКОВСКИЙ ЭНДОКРИННЫЙ ЗАВОД ;ЮВАО;Нижегородский район;Химическая промышленность
ООО МАКИЗ-ФАРМА ;ЮВАО;Нижегородский район;Химическая промышленность
ОАО ЗАВОД ЭЛЕКТРОПРИБОР ;ЮВАО;район Марьино;Электрооборудование, электронное и оптическое оборудование, мед. оборудование
ЗАО РЕНО РОССИЯ ;ЮВАО;район Печатники;Транспортные средства
ООО ВЕМИНА АВИАПРЕСТИЖ ;ЮВАО;Южнопортовый район;Мебель
ООО РУССКИЙ МАТРАЦ ;ЮВАО;район Выхино-Жулебино;Мебель
ОАО ММЗ №3 ;ЮВАО;Рязанский район;Машины и оборудование
АО МОЗ ВНИИМЕТМАШ ;ЮВАО;Рязанский район;Машины и оборудование
АО ПО МЗ МОЛНИЯ ;ЮВАО;Рязанский район;Машины и оборудование
АО МКФ ;ЮВАО;район Лефортово;Производство электрического оборудования
ООО МКМ-ОП ;ЮВАО;район Лефортово;Производство электрического оборудования
ООО ЗАВОД МОСКАБЕЛЬ ;ЮВАО;район Лефортово;Производство электрического оборудования
ООО ЭСТРАЛИН ЗВК ;ЮВАО;район Лефортово;Производство электрического оборудования
"АО МКСМ АО МОСКАБЕЛЬСЕТЬМОНТАЖ
";ЮВАО;район Печатники;Ремонт и монтаж машин и оборудования
ЗАО ФЕРРОТЕК НОРД ;ЮВАО;район Печатники;Производство компьютеров, электронных и оптических изделий
АО Реатэкс;ЮВАО;район Печатники;химическая промышленность
ОАО Таганский мясокомбинат;ЮВАО;Нижегородский район;Пищевая промышленность
"АО ЖИРОВОЙ КОМБИНАТ
";ЮВАО;район Текстильщики;Пищевая промышленность
ООО Союз Три;ЮВАО;Нижегородский район;пищевая промышленность
ОАО КБК Простор;ЮВАО;район Выхино-Жулебино;пищевая промышленность
АО ПРЕМИУМ;ЮВАО;район Марьино;Строительные материалы
АО ИПК СТРАЖ;ЮВАО;район Выхино-Жулебино;Производство готовых металлических изделий
ООО ПК БОРЕЦ;ЮВАО;район Печатники;"Топливно-энергетическое машиностроение
"
АО КБК ЧЕРЁМУШКИ;ЮВАО;район Черёмушки;"Пищевая промышленность
"
"АО МЗЭМА
";ЮВАО;район Лефортово;"Приборостроение и электроника
"
"ООО ЮНИТЕЛ ИНЖИНИРИНГ
";ЮВАО;район Лефортово;"Топливно-энергетическое машиностроение
"
ООО ВЕТБИОХИМ;ЮВАО;район Щукино;"Фармацевтическая промышленность
"
ООО ФЛЕКСОЗНАК;ЮВАО;район Печатники;Полиграфическая деятельность 
АО АТЛАНТИКТРАНСГАЗСИСТЕМА АО АТГС;ЮВАО;район Печатники;"Приборостроение и электроника
"
"АО ФИРМА ТВЕМА
";ЮВАО;район Печатники;"Станкоинструментальная промышленность
"
ЗАО КРУГ;ЮВАО;район Марьино;"Пищевая промышленность
"
"АО ВТЕ ЮГО-ВОСТОК
";ЮВАО;район Некрасовка;"Химическая промышленность
"
"АО КБМ
";ЮВАО;Южнопортовый район;"Специальное машиностроение (в т.ч. пищевое, стройдор, сельхоз)
"
"АО ПРЕПРЕГ-СКМ
";ЮВАО;район Печатники;"Химическая промышленность
"
ООО НИЖЕГОРОДСКИЙ ХЛЕБ;ЮВАО;Нижегородский район;"Пищевая промышленность
"
"ООО ХАЙТЭК
";ЮВАО;район Печатники;"Микроэлектроника
"
ООО ВЕЛЬТПЛАСТ;ЮВАО;Нижегородский район;"Производство строительных материалов
"
"ЗАО НПЦ НАУКА-СЕРВИС
";ЮВАО;Рязанский район;"Производство оружия и боеприпасов
"
"ООО ЦПОСН ОРТОМОДА
";ЮВАО;район Печатники;"Медицинская промышленность
"
"ООО ЭСТРАЛИН ПС
";ЮВАО;район Лефортово;"Производство строительных материалов
"
ФАУ ЦИАМ ИМ. П.И. БАРАНОВА;ЮВАО;район Лефортово;Научные исследования и разработки
АО Т 8;ЮВАО;район Печатники;Полиграфическая деятельность
АО КОРПОРАЦИЯ КОМЕТА;ЮВАО;Южнопортовый район;Радиоэлектроника и приборостроение
АО НПК СПП;ЮВАО;район Лефортово;Радиоэлектроника и приборостроение
АО ОКБ МЭИ;ЮВАО;район Лефортово;Радиоэлектроника и приборостроение
АО КОРПОРАЦИЯ СПУ-ЦКБ ТМ;ЮВАО;Нижегородский район;Общее машиностроение
АО ВНИИАЭС;ЮВАО;район Выхино-Жулебино;Общее машиностроение
ОАО ВНИИКП;ЮВАО;район Лефортово;Кабельная промышленность
ЗАО НПЦ ФИРМА НЕЛК;ЮВАО;Рязанский район;Радиоэлектроника и приборостроение
"АО СВЕТОТЕХНИЧЕСКИЙ ЗАВОД
САТУРН";ЮВАО;Рязанский район;Приборостроение и электроника
ООО ДИАГНОСТИКА-М;ЮВАО;район Печатники;Радиоэлектроника и приборостроение
ООО ИНФОРСЕР ИНЖИНИРИНГ;ЮВАО;Рязанский район;Приборостроение и электроника
ООО НАУЧНЫЕ РАЗВЛЕЧЕНИЯ;ЮВАО;район Печатники;Радиоэлектроника и приборостроение
ООО РАДИОКОМП;ЮВАО;район Печатники;Радиоэлектроника и приборостроение
АО НПП ЦИФРОВЫЕ РЕШЕНИЯ;ЮВАО;район Лефортово;Радиоэлектроника и приборостроение
ООО МТЭР ЦТС;ЮВАО;район Люблино;Производство прочей неметаллической минеральной продукции
ООО РПК ЗЕТАПРИНТ;ЮВАО;район Печатники;Полиграфическая деятельность
ООО ТЕХНОЛОГИЯ;ЮВАО;Нижегородский район;Химическая промышленность
АО ОРКК;ЮВАО;район Лефортово;Радиоэлектроника и приборостроение
ФГБНУ ФНАЦ ВИМ;ЮВАО;Рязанский район;Общее машиностроение
ООО ЦРМЗ;ЮВАО;Рязанский район;Общее машиностроение
АО МКМ;ЮВАО;район Лефортово;Топливно-энергетический комплекс
АО АХК ВНИИМЕТМАШ;ЮВАО;Рязанский район;Общее машиностроение
АО ВНИИ НП;ЮВАО;район Лефортово;Химическая промышленность
ООО ФИРМА ВИРТУ;ЮВАО;Южнопортовый район;Производство прочих товаров народного потребления
ООО ФОТОЭКСПЕРТ;ЮВАО;район Печатники;Полиграфическая деятельность
АО ИНСТИТУТ ПЛАСТМАСС;ЮВАО;район Лефортово;Химическая промышленность
ООО РЕПРОПАРК;ЮВАО;район Лефортово;Полиграфическая деятельность
ООО ХИМАВТООЙЛ;ЮВАО;район Печатники;Химическая промышленность
ООО НПК ПОЖХИМЗАЩИТА;ЮВАО;район Печатники;Легкая промышленность
ООО НИИЭМИ;ЮВАО;Нижегородский район;Химическая промышленность
ООО СПУТНИК ТЕХНОПОЛИС;ЮВАО;район Печатники;Фармацевтическая промышленность
ООО НЦК;ЮВАО;район Печатники;Химическая промышленность
АО ШНЕЙДЕР ЭЛЕКТРИК;ЮВАО;район Печатники;Топливно-энергетический комплекс
ООО ТПК НВН;ЮВАО;Нижегородский район;Пищевая промышленность
ООО ПК ВТОРАЛЮМИНПРОДУКТ;ЮВАО;район Некрасовка;Металлургия и металлообработка
ООО ММП-ИРБИС;ЮВАО;район Лефортово;Радиоэлектроника и приборостроение
ООО МК;ЮВАО;Нижегородский район;Пищевая промышленность
ООО ПО ЭКОТЕХПРОМ ;ЮВАО;район Москворечье-Сабурово;Общее машиностроение
АО НПО ЦНИИТМАШ;ЮВАО;Южнопортовый район;Металлообрабатывающая промышленность
ООО АТМ АКРОНЕКС;ЮВАО;район Лефортово;Металлообрабатывающая промышленность
ООО ЭЛКАТ;ЮВАО;район Лефортово;Производство меди
ООО ЭТК-ПРИБОР;ЮВАО;Нижегородский район;"Радиоэлектроника и приборостроение
"
АО АКТИВ-СОФТ;ЮВАО;Южнопортовый район;"Радиоэлектроника и приборостроение
"
ООО ЛАССАРД;ЮВАО;район Лефортово;"Научная деятельность
"
ООО Снежана+Д ;ЮЗАО;район Коньково;Пищевая промышленность
ОАО КБК ЧЕРЕМУШКИ ;ЮЗАО;район Выхино-Жулебино;Пищевая промышленность
ООО Эль Пако ;ЮЗАО;Обручевский район;Целлюлозно-бумажная промышленность, издательская и полиграфическая деятельность
ЗАО Фирма ЧЕРЕМУШКИ ;ЮЗАО;район Котловка;Легкая промышленность
ФГУП МЗСС ;ЮЗАО;район Черёмушки;Производство ювелирных изделий и аналогичных изделий
ОАО Окружная газета ЮЗАО ;ЮЗАО;район Котловка;Целлюлозно-бумажная промышленность, издательская и полиграфическая деятельность
ООО БИЗНЕСПРЕСС ;ЮЗАО;Обручевский район;Целлюлозно-бумажная промышленность, издательская и полиграфическая деятельность
ОАО Щербинская типография ;ЮЗАО;район Южное Бутово;Целлюлозно-бумажная промышленность, издательская и полиграфическая деятельность
ЗАО ФАРМЦЕНТР ВИЛАР ;ЮЗАО;район Северное Бутово;Химическая промышленность
ООО C.П.ГЕЛПИК ;ЮЗАО;район Коньково;Медицинское оборудование
ЗАО НПФ ДОЛОМАНТ ;ЮЗАО;район Коньково;Производство компьютеров, электронных и оптических изделий
АО КОНЦЕРН ВНИИНС;ЮЗАО;район Зюзино;Деятельность профессиональная научная и техническая прочая
ОАО Т-ПЛАТФОРМЫ ;ЮЗАО;Ломоносовский район;Производство компьютеров, электронных и оптических изделий
АО НПП Торий ;ЮЗАО;район Коньково;Научные исследования и разработки
"ООО Компания БиДжи
 ";ЮЗАО;район Южное Бутово;Производство бумаги и бумажных изделий
ФГУП НПЦАП;ЮЗАО;район Коньково;Научные исследования и разработки
"ООО САТУРН-ШБС-3
";ЮЗАО;Обручевский район;"пищевая промышленность
"
"ООО СТЕНТЕКС
";ЮЗАО;район Зюзино;"Медицинская промышленность
"
"АО НИИАА
";ЮЗАО;Обручевский район;"Приборостроение и электроника
"
"АО СИСТЕМЫ УПРАВЛЕНИЯ
";ЮЗАО;Обручевский район;"Приборостроение и электроника
"
АО НИИССУ;ЮЗАО;Обручевский район;Радиоэлектроника и приборостроение
АО НПП ТОРИЙ;ЮЗАО;район Коньково;Радиоэлектроника и приборостроение
ООО ДНК-ТЕХНОЛОГИЯ ТС;ЮЗАО;район Черёмушки;Медицинская промышленность
АО МЦСТ;ЮЗАО;Гагаринский район;Радиоэлектроника и приборостроение
АО МЗСС;ЮЗАО;район Черёмушки;Производство прочих товаров народного потребления
ФГУ ФНЦ НИИСИ РАН;ЮЗАО;Академический район;Радиоэлектроника и приборостроение
ПАО ИНЭУМ ИМ. И.С. БРУКА;ЮЗАО;Гагаринский район;Радиоэлектроника и приборостроение
АО КБТОЧМАШ ИМ. А.Э.НУДЕЛЬМАНА;ЮЗАО;район Коньково;Производство оружия, боеприпасов, спецхимии, военных машин
ФГУП НПП ГАММА;ЮЗАО;Обручевский район;Радиоэлектроника и приборостроение
ООО ФАРМАПАРК;ЮЗАО;район Черёмушки;Фармацевтическая промышленность
АО НИИ ПОЛЮС ИМ. М.Ф. СТЕЛЬМАХА;ЮЗАО;район Коньково;Радиоэлектроника и приборостроение
АО НПЦАП;ЮЗАО;район Коньково;Радиоэлектроника и приборостроение
АО НИТС ИМ. В.Ф.СОЛИНОВА;ЮЗАО;район Котловка;Авиационная промышленность
АО ЦЕНТР ВОСПИ;ЮЗАО;район Коньково;Кабельная промышленность
АО ИТМИВТ;ЮЗАО;Гагаринский район;Радиоэлектроника и приборостроение
ИКИ РАН;ЮЗАО;район Коньково;Авиационная промышленность
ИБХ РАН;ЮЗАО;район Коньково;Химическая промышленность
ИОФ РАН;ЮЗАО;Гагаринский район;Металлургия и металлообработка
ИОХ РАН;ЮЗАО;Гагаринский район;Химическая промышленность
ИНЭОС РАН;ЮЗАО;Гагаринский район;Химическая промышленность
ФНИЦ КРИСТАЛЛОГРАФИЯ И ФОТОНИКА РАН;ЮЗАО;Гагаринский район;Химическая промышленность
ИМЕТ РАН;ЮЗАО;Гагаринский район;Металлургия и металлообработка
АО АКИН;ЮЗАО;Академический район;Судостроение
АО ДРСУ;ЮЗАО;район Южное Бутово;Производство строительных материалов
ИСПМ РАН;ЮЗАО;Обручевский район;Химическая промышленность
ООО ГАЗПРОМНЕФТЬ - ЭНЕРГОСЕРВИС;ЮЗАО;Академический район;Топливно-энергетический комплекс
ЗАО ЦНИИПСК ИМ. МЕЛЬНИКОВА;ЮЗАО;Обручевский район;Строительная
ООО ГЭХ ТЭР;ЮЗАО;район Черёмушки;Топливно-энергетический комплекс
"ИЯИ РАН
";ЮЗАО;Академический район;"Научная деятельность
"
ООО ДОРМАКАБА ЕВРАЗИЯ;ЮЗАО;Академический район;"Производство строительных материалов
"
ООО МПЗ«Москворецкий ;ЮАО;район Москворечье-Сабурово;Пищевая промышленность
ЗАО ПАРТНЕР Ф ;ЮАО;район Царицыно;Пищевая промышленность
ООО ММПЗ КОЛОМЕНСКОЕ ;ЮАО;район Нагатино-Садовники;Пищевая промышленность
ОАО ЦАРИЦЫНО ;ЮАО;район Царицыно;Пищевая промышленность
ОАО МОСКВОРЕЧЬЕ ;ЮАО;Даниловский район;Пищевая промышленность
ЗАО БКК Коломенский ;ЮАО;район Нагатино-Садовники;Пищевая промышленность
ООО ХАТБЕР-М ;ЮАО;район Чертаново Центральное;Целлюлозно-бумажная промышленность, издательская и полиграфическая деятельность
ООО КОМПАНИЯ СКИТ ;ЮАО;район Царицыно;Пищевая промышленность
АО ФОРТ ТЕХНОЛОГИЯ ;ЮАО;Донской район;Легкая промышленность
ЗАО МОФ ПАРИЖСКАЯ КОММУНА ;ЮАО;район Замоскворечье;Легкая промышленность
ОАО УПАКОВКА ;ЮАО;район Царицыно;Целлюлозно-бумажная промышленность, издательская и полиграфическая деятельность
АО Смерфит Каппа Москва СОЮЗ;ЮАО;район Царицыно;Целлюлозно-бумажная промышленность, издательская и полиграфическая деятельность
ОАО ФАБЕРЛИК ;ЮАО;район Бирюлёво Западное;Химическая промышленность
ЗАО НОВАЯ ЗАРЯ ;ЮАО;Даниловский район;Химическая промышленность
ООО МОСАВТОСТЕКЛО ;ЮАО;Даниловский район;Неметаллические минеральные продукты
ОАО ОПЫТНЫЙ ЗАВОД СУХИХ СМЕСЕЙ ;ЮАО;район Бирюлёво Западное;Неметаллические минеральные продукты
ФЛ ООО Промет-сейф ;ЮАО;район Бирюлёво Восточное;Металлообрабатывающая промышленность
ООО Рус Стиль ;ЮАО;Даниловский район;Машины и оборудование
ОАО НПО ГЕЛИЙМАШ ;ЮАО;Даниловский район;Машины и оборудование
ООО ЛЕНТА.РУ ;ЮАО;Даниловский район;Целлюлозно-бумажная промышленность, издательская и полиграфическая деятельность
ООО Хёрст Шкулёв Медиа ;ЮАО;Донской район;Целлюлозно-бумажная промышленность, издательская и полиграфическая деятельность
ООО ПРАЙС ЭКСПРЕСС ;ЮАО;Даниловский район;Целлюлозно-бумажная промышленность, издательская и полиграфическая деятельность
АО ГОЗНАК;ЮАО;Даниловский район;Целлюлозно-бумажная промышленность, издательская и полиграфическая деятельность
АО КОНЦЕРН ЗНАК ;ЮАО;район Нагатино-Садовники;Производство готовых металлических изделий
ООО МНПК БИОТИКИ ;ЮАО;район Бирюлёво Восточное;Химическая промышленность
АО МРЗ ТЕМП ;ЮАО;район Царицыно;Электрооборудование, электронное и оптическое оборудование, мед. оборудование
ООО ДИАМЕХ 2000 ;ЮАО;Даниловский район;Производство машин и оборудования
АО МЗП ;ЮАО;район Москворечье-Сабурово;Производство готовых металлических изделий
ООО ОПТИК-ВИЖН ;ЮАО;Донской район;Производство медицинских инструментов и оборудования
"АО МЗ САПФИР
";ЮАО;район Чертаново Центральное;Производство оптических приборов, фото- и кинооборудования
ЗАО ПО Спецтехника пожаротушения ;ЮАО;Даниловский район;Транспортные средства
ЗАО ВАСКО ;ЮАО;район Москворечье-Сабурово;Мебель
МОСКОВСКИЙ МОНЕТНЫЙ ДВОР ГОЗНАКА;ЮАО;Даниловский район;Ювелирные изделия
ООО Руиз Даймондс ;ЮАО;район Нагатино-Садовники;Ювелирные изделия
ООО ЧАСОВОЙ ЗАВОД НИКА ;ЮАО;район Нагатинский Затон;Ювелирные изделия
АО КБ КОРУНД-М ;ЮАО;Нагорный район;Производство компьютеров, электронных и оптических изделий
ООО НПП ИТЭЛМА ;ЮАО;район Нагатино-Садовники;Производство автотранспортных средств, прицепов и полуприцепов
ОАО КОНЦЕРН ГРАНИТ ;ЮАО;Донской район;Научные исследования и разработки 
АО МПО МЕТАЛЛИСТ ;ЮАО;Донской район;Производство компьютеров, электронных и оптических изделий
ООО ВОСТРЯКОВО-2;ЮАО;район Бирюлёво Западное;пищевая промышленность
ООО ЧИКЕН ФЭКТОРИ;ЮАО;район Бирюлёво Западное;Пищевая промышленность
ООО БУТКОМ ;ЮАО;район Бирюлёво Западное;пищевая промышленность
ПАО ДИОД;ЮАО;Даниловский район;Пищевая промышленность
"АО ГНПП РЕГИОН
";ЮАО;район Нагатино-Садовники;Оружие и боеприпасы
ООО Альфа Автоматив Техноложиз;ЮАО;Даниловский район;Автомобильная
АО ГНПП РЕГИОН ;ЮАО;район Нагатино-Садовники;Производство оружия и боеприпасов
"АО МЗАТЭ-2
";ЮАО;район Чертаново Южное;"Автомобильная промышленность
"
"ООО ФЛЕКСОПРИНТ
";ЮАО;район Москворечье-Сабурово;"Полиграфическая деятельность 
"
ООО МПО ЭЛЕКТРОТЕХНИКА;ЮАО;район Нагатино-Садовники;"Кабельная промышленность
"
"ООО ЛЕД-ЭФФЕКТ
";ЮАО;район Нагатино-Садовники;"Приборостроение и электроника
"
ООО АБС ЦДС;ЮАО;район Чертаново Южное;"Производство строительных материалов
"
АО ГОЗНАК;ЮАО;Даниловский район;"Полиграфическая деятельность 
"
"ООО ФИРМА ГАЗПРИБОРАВТОМАТИКА
";ЮАО;район Чертаново Южное;"Приборостроение и электроника
"
"ООО АЙКРАФТ
";ЮАО;Донской район;"Медицинская промышленность
"
"ЗАО НПЦ КИБЕРНЕТИКА
";ЮАО;район Царицыно;"Приборостроение и электроника
"
ООО АББ;ЮАО;Академический район;"Производство строительных материалов
"
"ООО ОРИС ПРОМ 
";ЮАО;Нагорный район;"Приборостроение и электроника
"
"АО СОЮЗПРОМНИИПРОЕКТ
";ЮАО;район Нагатино-Садовники;"Авиационная промышленность
"
ООО БАЙТЭРГ;ЮАО;район Лефортово;Приборостроение и электроника
АО ФЦНИВТ СНПО ЭЛЕРОН;ЮАО;район Орехово-Борисово Северное;Радиоэлектроника и приборостроение
ФГБУ НМИЦ ОНКОЛОГИИ ИМ. Н.Н. БЛОХИНА МИНЗДРАВА РОССИИ;ЮАО;район Москворечье-Сабурово;Фармацевтическая промышленность
АО НИЦЭВТ;ЮАО;район Чертаново Центральное;Радиоэлектроника и приборостроение
АО НПО РУСБИТЕХ;ЮАО;Нагорный район;Общее машиностроение
ООО КОД БЕЗОПАСНОСТИ;ЮАО;район Нагатино-Садовники;Радиоэлектроника и приборостроение
АО МРТИ РАН;ЮАО;район Чертаново Центральное;Радиоэлектроника и приборостроение
АО ЗАВОД РЭТО;ЮАО;район Нагатино-Садовники;Металлургия и металлообработка
АО НПО ПРИБОР ИМЕНИ С.С. ГОЛЕМБИОВСКОГО;ЮАО;район Чертаново Северное;Производство оружия, боеприпасов, спецхимии, военных машин
АО КРАСНАЯ ЗВЕЗДА;ЮАО;Нагорный район;Общее машиностроение
АО ВНИИХТ;ЮАО;район Москворечье-Сабурово;Общее машиностроение
АО НПЦ ВИГСТАР;ЮАО;район Чертаново Центральное;Металлургия и металлообработка
АО НИАТ;ЮАО;район Чертаново Северное;Авиационная промышленность
АО НИИТФА;ЮАО;Нагорный район;Радиоэлектроника и приборостроение
ООО ГЕЛЬТЕК-МЕДИКА;ЮАО;район Москворечье-Сабурово;Фармацевтическая промышленность
АО СВЯЗЬ ИНЖИНИРИНГ М;ЮАО;район Нагатино-Садовники;Радиоэлектроника и приборостроение
ООО ЭЛЕКТРО СИ;ЮАО;район Бирюлёво Восточное;Металлургия и металлообработка
ОАО НПО ФИЗИКА;ЮАО;район Чертаново Центральное;Радиоэлектроника и приборостроение
ООО СПЕЦБЛАНК-МОСКВА;ЮАО;район Нагатино-Садовники;Полиграфическая деятельность
ФГУП ЦНИИХМ;ЮАО;район Нагатино-Садовники;Химическая промышленность
ООО ЭНЖИ;ЮАО;район Царицыно;Радиоэлектроника и приборостроение
ООО МЯСНОВЪ - 77;ЮАО;район Бирюлёво Восточное;Пищевая промышленность
АО МОСАГРОГЕН;ЮАО;район Чертаново Центральное;Фармацевтическая промышленность
ООО ПК ЛУЧ;ЮАО;район Чертаново Центральное;Пищевая промышленность
АО ВНИПИПРОМТЕХНОЛОГИИ;ЮАО;район Москворечье-Сабурово;Научная деятельность
ООО РУСАТ;ЮАО;район Москворечье-Сабурово;Общее машиностроение
АО ЭНПО СПЭЛС;ЮАО;Даниловский район;Научная деятельность
ООО ВЕДИС-ГРУПП;ЮАО;Даниловский район;Производство строительных материалов
ИНХС РАН;ЮАО;Донской район;Полиграфическая деятельность
ИФХЭ РАН;ЮАО;Донской район;Полиграфическая деятельность
ФГБУ НМИЦ ОНКОЛОГИИ ИМ. Н.Н. БЛОХИНА МИНЗДРАВА РОССИИ;ЮАО;район Москворечье-Сабурово;"Фармацевтическая промышленность
"
АО МЮЗ;ЮАО;район Нагатино-Садовники;"Производство прочих товаров народного потребления
"
ООО ВИКТОРИЯ БАЛТИЯ;ЮАО;район Бирюлёво Западное;"Производство напитков
"
ООО ГК МФМК;ЮАО;район Москворечье-Сабурово;Общее машиностроение
ООО БАСТИОН М.С.;ЮАО;район Москворечье-Сабурово;"Пищевая промышленность
"
ООО ЛИНЗМАСТЕР;ЮАО;Нагорный район;"Медицинская промышленность
"
