ООО ИНТЕРНЕТ РЕШЕНИЯ;ВАО;район Соколиная Гора;Пищевая промышленность
ООО ГАЙ - КОМПЛЕКТ;ВАО;район Богородское;Химическая промышленность
ФГУП АВИАКОМПЛЕКТ;ВАО;район Сокольники;Научная деятельность
ФГУП 18 ЦНИИ МО РФ;ВАО;район Новогиреево;Научная деятельность
АО ВОЕНТЕЛЕКОМ;ВАО;район Сокольники;Радиоэлектроника и приборостроение
ФГБУ 3 ЦНИИ МИНОБОРОНЫ РОССИИ;ВАО;район Богородское;Научная деятельность
ООО МЕЛЬКОМБИНАТ В СОКОЛЬНИКАХ;ВАО;район Сокольники;Пищевая промышленность
ООО ГЛОБУС;ВАО;район Гольяново;Полиграфическая деятельность
ООО НПК ЭЛЕКТРООПТИКА;ВАО;район Сокольники;Научная деятельность
ООО ВИТО-1;ВАО;район Соколиная Гора;Пищевая промышленность
АО СФЕРА;ВАО;район Перово;Полиграфическая деятельность
АО МИКРОВОЛНОВЫЕ СИСТЕМЫ;ВАО;район Гольяново;Радиоэлектроника и приборостроение
АО МЭЛ;ВАО;район Гольяново;Производство  подъемно-транспортного оборудования
АО САГА ТЕХНОЛОГИИ;ВАО;район Гольяново;"Радиоэлектроника и приборостроение
"
ООО ГРАДЛИФТ;ВАО;район Гольяново;Общее машиностроение (в т.ч. оборудование пищевой переработки, дорожностр и сельскохозя техника)
ООО АЭРОМАКС;ВАО;район Косино-Ухтомский;"Авиационная промышленность
"
ООО ДЫМОВСКОЕ КОЛБАСНОЕ ПРОИЗВОДСТВО ;ЗАО;район Крылатское;Пищевая промышленность
ООО МПЗ СЕТУНЬ ;ЗАО;Можайский район;Пищевая промышленность
ООО МПЗ Рублевский ;ЗАО;Можайский район;Пищевая промышленность
ЗАО ХЛЕБОЗАВОД № 22 ;ЗАО;район Кунцево;Пищевая промышленность
ООО ФИЛИ-БЕЙКЕР ;ЗАО;район Филёвский Парк;Пищевая промышленность
АО ФАБРИКА РУССКИЙ ШОКОЛАД ;ЗАО;Можайский район;Пищевая промышленность
ОАО МКШВ ;ЗАО;район Очаково-Матвеевское;Пищевая промышленность
ЗАО МПБК ОЧАКОВО ;ЗАО;район Очаково-Матвеевское;Пищевая промышленность
ООО КОКА-КОЛА ЭЙЧБИСИ ЕВРАЗИЯ  ФЛ Г МОСКВА;ЗАО;район Ново-Переделкино;Пищевая промышленность
ООО Термопол ;ЗАО;район Очаково-Матвеевское;Легкая промышленность
ЗАО ЛАМБУМИЗ ;ЗАО;район Очаково-Матвеевское;Целлюлозно-бумажная промышленность, издательская и полиграфическая деятельность
ООО Завод РТИ-КАУЧУК ;ЗАО;район Очаково-Матвеевское;Резиновые и пластмассовые изделия
ООО ПИК-ПРОФИЛЬ ;ЗАО;район Очаково-Матвеевское;Резиновые и пластмассовые изделия
АО ВОЗДУХОТЕХНИКА ;ЗАО;район Очаково-Матвеевское;Металлообрабатывающая промышленность
ЗАО ГАЗЕТА НОВЫЕ ИЗВЕСТИЯ ;ЗАО;район Фили-Давыдково;Целлюлозно-бумажная промышленность, издательская и полиграфическая деятельность
ООО НПП ПОЛИПЛАСТИК ;ЗАО;район Очаково-Матвеевское;Химическая промышленность
ООО ИЗВАРИНО ФАРМА ;ЗАО;район Внуково;Химическая промышленность
АО 2 МПЗ ;ЗАО;район Очаково-Матвеевское;Электрооборудование, электронное и оптическое оборудование, мед. оборудование
